"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.847918250E0,-1.074348401E-1,3.284965754E-2,2.210387850E-1,2.479505784E-1
1.857848250E0,-1.379536147E-1,2.462613344E-2,1.572550178E-1,2.106342490E-1
1.867778250E0,-2.121187113E-1,2.282811463E-2,5.737404943E-2,2.209236340E-1
1.877709250E0,-2.232870394E-1,1.812052131E-2,-9.004712105E-2,2.414413785E-1
1.887639250E0,-1.833827162E-1,2.470390141E-2,-1.600248438E-1,2.446373928E-1
1.897569250E0,-2.059845436E-1,3.067624748E-2,-1.427439827E-1,2.524807100E-1
1.907499250E0,-1.611493730E-1,5.199461102E-2,-9.475588381E-2,1.940392680E-1
1.917430250E0,-1.300379831E-1,5.717992187E-2,-8.645283759E-2,1.662934564E-1
1.927360250E0,-1.584491288E-1,-2.964655280E-2,-2.495065391E-2,1.631182996E-1
1.937290250E0,-1.675719912E-1,-3.174394906E-2,-5.359616339E-2,1.787752759E-1
1.947220250E0,-2.032097474E-1,8.971967697E-3,-9.109611154E-2,2.228748509E-1
1.957151250E0,-2.305147827E-1,-3.912371993E-3,-1.118858868E-1,2.562631916E-1
1.967081250E0,-2.110489632E-1,-2.485885262E-2,-9.097215056E-2,2.311613281E-1
1.977011250E0,-1.480248955E-1,-3.424129486E-3,-1.693663555E-1,2.249623452E-1
1.986941250E0,-9.114303544E-2,-1.141376495E-3,-1.938258433E-1,2.141887326E-1
1.996871250E0,7.941286303E-3,-5.569823742E-2,-1.818150777E-1,1.903209924E-1
2.006802250E0,8.294333875E-2,-6.795692503E-2,-1.603341615E-1,1.928854179E-1
2.016732250E0,1.444307582E-1,-5.864406466E-2,-1.578093338E-1,2.218178443E-1
2.026662250E0,1.174274392E-1,-6.293650568E-2,-1.285147834E-1,1.851114712E-1
2.036592250E0,5.028298482E-2,-5.636365056E-2,-2.095659631E-1,2.227625026E-1
2.046523250E0,-5.759755924E-2,6.388667822E-3,-2.451766759E-1,2.519323249E-1
2.056453250E0,-1.469580710E-1,2.558390737E-2,-2.028217846E-1,2.517695122E-1
2.066383250E0,-1.439375090E-1,4.825531662E-2,-1.233651406E-1,1.956157969E-1
2.076313250E0,-1.347980551E-1,8.060328305E-2,-8.724279642E-2,1.796627686E-1
2.086244250E0,-2.562787112E-2,6.198808730E-2,-6.492105067E-2,9.334909515E-2
2.096174250E0,9.732076496E-2,3.366768301E-2,-6.287861824E-2,1.206588778E-1
2.106104250E0,1.304693979E-1,1.179968119E-2,-6.713246763E-2,1.472014419E-1
2.116034250E0,1.159387381E-1,2.662354231E-2,-1.154965425E-1,1.658012525E-1
2.125965250E0,8.481839463E-2,4.438679874E-2,-1.831804025E-1,2.066867384E-1
2.135895250E0,4.824493781E-2,7.285923064E-2,-2.080719995E-1,2.256767567E-1
2.145825250E0,-1.307188913E-2,1.086517918E-1,-2.320210254E-1,2.565342909E-1
2.155755250E0,-4.244139355E-2,1.034202880E-1,-2.138654208E-1,2.413202148E-1
2.165687000E0,-4.085752901E-2,9.458514512E-2,-1.698528439E-1,1.986596988E-1
2.175617000E0,-2.396832168E-2,1.635477912E-1,-1.469697654E-1,2.211842499E-1
2.185547000E0,8.501011021E-3,1.755275667E-1,-1.192101091E-1,2.123516988E-1
2.195477000E0,5.658102080E-2,1.737663853E-1,-1.023976099E-1,2.094789706E-1
2.205408000E0,1.172378433E-1,1.395022863E-1,-9.120896280E-2,2.037760405E-1
2.215338000E0,1.525782685E-1,1.202000427E-1,-7.359305620E-2,2.077116179E-1
2.225268000E0,1.744272669E-1,1.168647909E-1,-1.314097399E-1,2.476908769E-1
2.235198000E0,1.321181300E-1,1.144861436E-1,-1.666444767E-1,2.415215497E-1
2.245129000E0,1.368510126E-1,1.058305103E-1,-1.444548780E-1,2.253785888E-1
2.255059000E0,1.450894471E-1,1.023303670E-1,-1.145188880E-1,2.112747674E-1
2.264989000E0,1.336714429E-1,1.191352648E-1,-5.428087234E-2,1.871033913E-1
2.274919000E0,1.433416047E-1,1.212806082E-1,-1.420873404E-4,1.877653369E-1
2.284850000E0,9.052619074E-2,1.018128884E-1,2.680246711E-2,1.388496586E-1
2.294780000E0,1.120528248E-1,1.341362965E-1,2.099793613E-2,1.760377656E-1
2.304710000E0,8.679548442E-2,1.403021854E-1,1.011802197E-2,1.652892426E-1
2.314640000E0,1.976797432E-2,7.202307880E-2,6.967542171E-2,1.021408884E-1
2.324570000E0,2.543772697E-2,6.039355159E-2,9.462666035E-2,1.151028404E-1
2.334501000E0,7.290966287E-2,5.309154868E-2,8.912559986E-2,1.267986752E-1
2.344431000E0,1.325799139E-1,1.404384255E-2,8.596868813E-2,1.586356783E-1
2.354361000E0,1.295544183E-1,8.228786588E-3,4.056213498E-2,1.360049522E-1
2.364291000E0,1.096079943E-1,1.277265787E-2,1.277090371E-2,1.110862241E-1
2.374222000E0,9.496609122E-2,-1.274342179E-2,1.221015573E-2,9.659213831E-2
2.384152000E0,8.698449567E-2,-2.977051377E-2,4.817637920E-2,1.037957104E-1
2.394082000E0,1.271268006E-1,-2.810347259E-2,8.538922906E-2,1.556995473E-1
2.404012000E0,1.179213828E-1,-5.375930071E-3,2.430336714E-2,1.205197361E-1
2.413943000E0,6.163126096E-2,-3.661117136E-2,-6.421996951E-3,7.197244085E-2
2.423873000E0,5.515810087E-2,-1.899058700E-2,-6.639221013E-2,8.837977173E-2
2.433803000E0,5.914531723E-2,-2.252113581E-2,-1.365283924E-1,1.504837933E-1
2.443733000E0,6.679859161E-2,-4.591584563E-2,-1.188259470E-1,1.438399194E-1
2.453664000E0,2.577540368E-2,-6.181091666E-2,-1.058784574E-1,1.252805196E-1
2.463594000E0,2.175705090E-2,-6.482457161E-2,-8.773045421E-2,1.112305126E-1
2.473524000E0,3.215383887E-2,-7.816207051E-2,-1.675455326E-1,1.876557596E-1
2.483454000E0,4.763083398E-2,-1.001592958E-1,-1.876605392E-1,2.179840793E-1
2.493385000E0,2.855312347E-2,-9.155044019E-2,-2.025422877E-1,2.240985102E-1
2.503315000E0,1.460049748E-3,-7.502445459E-2,-1.807128775E-1,1.956730555E-1
